Genere,Imdb_rating,User_rating,Directed by,Produced by,Written by,Hero,Heroine,Music by,Cinematography,Edited by,company,Release date,Language,num_nulls
Romance,7.1,86.0,V. N. Aditya,M. S. Raju,Others,Uday Kiran,Reema Sen,R. P. Patnaik,S. Gopal Reddy,Krishna Reddy,Sumanth Art Productions,October,Telugu,2
Romance,6.7,83.0,Teja,P.Kiran,Teja,Uday Kiran,Anita,R. P. Patnaik,Rasool Ellore,Others,Anandi Art Creations,August,Telugu,3
Drama,4.8,69.0,Rudraraju Suresh Varma,R Srinivas,Others,NTR,Sonali Joshi,Mani Sharma,Vijaya Sri,Marthand K. Venktesh,Others,December,Telugu,3
Romance,7.1,94.0,Srinu Vaitla,Ramoji Rao,Srinu Vaitla,Aakash,Rekha Vedavyas,Devi Sri Prasad,Sameer Reddy,Others,Ushakiran Movies,September,Telugu,3
Romance,5.8,82.0,Udayasankar,T. Trivikrama Rao,P.Rajendra Kumar (dialogues),Venkatesh,Simran,Mani Sharma,S. Gopal Reddy,Marthand K. Venkatesh,Vijayalakshmi Art Pictures,May,Telugu,0
Action,7.2,74.0,B. Gopal,M. V. Murali Krishna,Paruchuri Brothers (dialogues),Nandamuri Balakrishna,Simran,Mani Sarma,V. S. R. Swamy,Kotagiri Venkateswara Rao,Venkata Ramana Productions,January,Telugu,0
Romance,6.6,84.0,Balashekaran,R. B. Choudary,Chintapalli Ramana (Telugu Version),Tarun,Sneha,Shiva Shankar,Shyam K Naidu,V. Jaishankar,Super Good Films,February,Telugu,2
World cinema,6.6,82.0,Puri Jagannadh,K. Venugopal Reddy,Puri Jagannadh,Ravi Teja,Tanu Roy,Chakri,K.Dutt,Martand K. Venkatesh,Others,September,Telugu,3
Drama,6.8,80.0,K. Raghavendra Rao,V. Ravichandran,K. Raghavendra Rao,Chiranjeevi,Arjun,Hamsalekha,Sundarnath Suvarna,R. Janardhan,Chinni films,June,Kannada,1
Action,7.1,83.0,Ravi Raja Pinisetty,Mohan Babu,Paruchuri Brothers (dialogues),Mohan Babu,Nagarjuna Akkineni,Koti,V. Jayaram,Gautham Raju,Sri Lakshmi Prasanna Pictures,September,Telugu,1
Drama,4.5,83.0,Balasekaran,R. B. Choudary,Chintapalli Ramana (dialogues),Nagarjuna Akkineni,Sumanth,Shiva Shankar,Shyam K. Naidu,Nandamuri Hari,Super Good Films,October,Telugu,1
Comedy,6.9,79.0,M. Raja,M.V. Lakshmi,Thotapalli Madhu (dialogues),Arjun,Laya,Suresh Peters,Ram Prasad,M. Babji,M. L. Movie Arts,December,Telugu,0
Drama,6.2,83.0,Muthyala Subbaiah,M. Nageswara Rao,Vara Prasad Varma,Gopichand,Sneha,Vandemataram Srinivas,R. Rama Rao,Kola Bhaskar,T. Krishna Memorial Films,August,Telugu,1
Romance,4.8,85.0,V. R. Prathap,Ramoji Rao,V. R. Prathap,Jr. NTR,Raveena Rajput,S. A. Rajkumar,S. Gopal Reddy,Others,Ushakiran Movies,May,Telugu,2
Comedy,5.6,83.0,K. Balachander,Pushpa Kandaswamy,K. Balachander,Madhavan,Simran,A. R. Rahman,A. Venkatesh,Suresh Urs,Kavithalayaa Productions,November,Tamil,3
